"urun_grubu","urun","baslik","problem_tarifi","cozum","etiketler","link"
"Çözümler","değerlerin izlenmesi; elektrik tüketimi; enerji tüketim raporları; enerji tüketimi raporları; enerji tüketimlerinin; enerji verimliliği; enerjilerin ölçülmesi; haberleşme yazılımı; kompresörlerin","Tüp Dolum Tesisi Enerji Çözümü","Problem:
Makine ve bölüm bazında
enerji tüketimlerinin
üst yönetime gerçek değerde aylık olarak verilememesi Teşhis:
Kompresörler, soğutma kulesi, tanklar ve aydınlatmaların tükettikleri
enerjilerin ölçülmesi
ve bu
değerlerin izlenmesi","Çözüm:
24 adet
Enerji ve Güç Ölçer
,
Gateway (Ağ Geçitleri)
ve 1 adet
Enerji İzleme Yazılımı
kullanıldı. Enerji tüketen makine ve sistemlerin çektikleri değerler ölçüldü ve
haberleşme yazılımı
aracılığıyla izlendi. Böylece üst yönetimin istediği
enerji tüketim raporları
sağlıklı bir şekilde sağlanmış oldu. Ayrıca, ambar aydınlatmasında bir gecede 100 kWh gereksiz
elektrik tüketimi
olduğu fark edildi. Güvenlik görevlilerinin gece ambar ışığını kapatmadıkları ortaya çıktı. Ambara sensörlü lamba takılarak aylık 3.000 kWh gücünde ve 530 TL değerinde tasarruf sağlandı. Derin çekme presleri mesai saatinden 2 saat önce ısınması için devreye alınıyordu ve bu uygulama bir günde 280 kWh elektrik tüketimine sebep oluyordu. Preslerin soğumaması için ısıtma sistemi kuruldu. Aylık 7.500 kWh gücünde ve 1.300 TL değerinde tasarruf sağlandı. Aynı güçteki
kompresörlerin
birinde fazla elektrik tüketimi olduğu tespit edildi. Mekanik bakım yapıldı. Bakımdan sonra o bölümde üretim miktarı artmasına rağmen elektrik tüketimi 20.000 kWh azaldı ve 3.500 TL tasarruf edilmiş oldu. Sonuç:
Tüm bu uygulamaların sonucunda aylık
enerji tüketimi raporları
sağlıklı olarak alınmaya başlandı, elektrik tüketim miktarı azaldı ve
enerji verimliliği
sağlanmış oldu. Cihaz yatırımı ise kendisini 4 ayda amorti etti.
Enerji Doktoru ile enerjinizi her an her yerden izleyin! İsimli Blog Yazımızı Okumak İçin Tıklayın.
Enerji Takibi Nedir? Enerji İzlemenin Faydaları Nelerdir? İsimli Blog Yazımızı Okumak İçin Tıklayın.","No labels","https://www.entes.com.tr/tup-dolum-tesisi-enerji-cozumu/"
"Çözümler","Haberleşme; Haberleşmeli cihazlar; Reaktif Güç Kontrol Rölelerinin; kompanzasyon; kompanzasyon izleme sisteminin; kompanzasyon panosundaki; kondansatör; sigorta","Banka Enerji Çözümü","Problem:
400 şubesi olan bankanın merkezi bir
kompanzasyon izleme sisteminin
olmaması Teşhis:
Haberleşme
özelliğine sahip
Reaktif Güç Kontrol Rölelerinin
sisteme entegre edilmesi ve bunların tek bir merkezden izlenebileceği bir yazılımın kullanılması","Çözüm:
400 adet
Reaktif Güç Rölesi
, 400 adet
Gateway (Ağ Geçitleri)
ve 1 adet
Enerji İzleme Yazılımı
kullanıldı.
Haberleşmeli cihazlar
kullanılmadan önce sınırlı sayıdaki teknik ekip tüm ülkeyi gezip arızalara müdahale etmeye çalışıyordu. Bu hem vakit kaybına yol açıyor hem de arızalara anında müdahale etme şansını ortadan kaldırıyordu.
Reaktif Güç Rölesi
ve
Enerji İzleme Yazılımı
aracılığıyla tüm şubelerin enerji parametrelerini
kompanzasyon panosundaki
kondansatör
,
sigorta
ve
kondansatörlerin
sağlam olup olmadığını merkezdeki bilgisayardan izlemeye ve problem olan şubeleri tespit ederek anında müdahale edebilmeye başladılar. Sonuç:
Tüm bu uygulamaların sonucunda 400 şubenin tamamında etkin
kompanzasyon
yapılmaya başlandı ve teknik servis ekibi daha etkin kullanılabilir hale geldi. Bu sayede işletme giderlerinde ciddi oranda tasarruf sağlanmış oldu.","No labels","https://www.entes.com.tr/banka-enerji-cozumu/"
"Çözümler","Kompanzasyon sistemi; kompanzasyon; reaktif oranlar; trafo gücünün","Hastane Enerji Çözümü - 2","Problem:
Hastanenin
trafo gücünün
yükseltilmesi ve ameliyathanenin yenilenmesi sonucunda
kompanzasyon
sisteminin ve ana trafo merkezinin izlenmesi ihtiyacı Teşhis:
Hastaneyi besleyen 1200 kVAtrafonun çıkışına ve ameliyathane dağıtım panosuna
Enerji Analizörü
takılması.","Çözüm:
2 adet
Enerji Analizörü
, 1 adet
Reaktif Güç Kontrol Rölesi
,
Gateway (Ağ Geçitleri)
ve 1 adet
Enerji İzleme Yazılımı
kullanıldı. 1200 kVAgücündeki trafonun tüm elektriksel parametreleri izlendi.
Kompanzasyon sistemi
ve
reaktif oranlar
bilgisayar üzerinden izlenerek değerler kayıt altına alındı. Ameliyathane bölümünün panosunda takılı olan Şebeke Analizörü aracılığıyla yazılım üzerinden verilerin izlenmesi ve kayıt alınması mümkün oldu. Sonuç:
Enerji değerlerinin izlenmesi sonucunda tüketim miktarları net olarak hesaplanabildi ve hastane tükettiği enerjiyi daha verimli kullanmaya başladı. Ayrıca
reaktif oranlar
izlenerek işletmenin yanlış tarife kullandığı ve gereksiz yere cezaya girdiği anlaşılarak duruma müdahale edildi.","No labels","https://www.entes.com.tr/hastane-enerji-cozumu-2/"
"Çözümler","Fotosel röleler; Zaman saati; aydınlatmalarda; dış aydınlatmalar; enerji; enerji tasarrufu; enerji verimliliği; fotosel gözler; fotosel rölelerin; iç aydınlatmaları; klasik fotosel şalter röleleri; klasik tip fotosel röleler; zaman saati; zaman saatinin","Banka Şubeleri Enerji Çözümü","Problem:
Farklı bölge ve şehirlerde bulunan banka şubelerinin
iç aydınlatmaları
klasik
zaman saati
ile,
dış aydınlatmalar
ve reklam panolarının aydınlatma kontrolü
klasik tip fotosel röleler
ile yapılmaktaydı.
Zaman saati
ile yapılan kontrollerde gün uzaması ve kısalmasında yaşanan sapmaları önlemek üzere her ay bir servis elemanı şubeleri kontrol etmekte ve ayarları yenilemekteydi. Dış cephe ve reklam panolarının aydınlatması
klasik fotosel şalter röleleri
ile yapılmaktaydı.
Fotosel röleler
, geçici hava kararmalarında yanmakta, çevredeki ışık yansımaları nedeni ile de sönmekteydi. Ayrıca
fotosel gözler
toz ve yağmur nedeni ile arızalandığı için
aydınlatmalarda
sürekli yanma veya sönük kalma durumları sıklıkla yaşanmaktaydı.
Bu nedenlerle 500 şubesi olan bankada
enerji
, verimsiz kullanılmakta zaman ve emek israfı olmaktaydı. Teşhis:
Bu tip sorunların ortadan kalkması için
Astronomik Zaman Rölesi
kullanılması","Çözüm:
Zaman saati
ve
fotosel rölelerin
kullanılmasından kaynaklanan olumsuzlukların ortadan kaldırılması için, her şubede 1 adet
Astronomik Zaman Rölesi
kullanıldı.
Astronomik Zaman Rölesi
’nin iki kontağı ayrı ayrı programlandı. Reklam panolarını kontrol eden 1. kontak akşam hava karardığında çekip, gece 24:00'de bırakmakta olup, dış aydınlatma ve acil aydınlatma lambalarının kontrolünü yapan 2. kontak ise akşam hava karardığında çekip, sabah gün doğduğunda bırakmaktadır. Reklam panolarının zaman saatinin sokaklarda kimsenin olmadığı 24:00'den sonra kapanması ve gereksiz çalışması önlenmektedir. Ayrıca
zaman saatinin
gün uzama ve kısalmalarında erken/geç yanma ve sönme durumu olmamakta, böylelikle maksimum verim alınmaktadır. 500 şubede minimum 90.000 TL/yıl tasarruf sağlandı. Sonuç:
Astronomik Zaman Rölesi
sayesinde yılda 90.000 TL tutarında
enerji tasarrufu
yapıldı ve bankanın
enerji verimliliği
arttırılmış oldu.
ENTES Astronomik Zaman Rölesini Öne Çıkaran 4 Özellik İsimli Blog Yazımızı Okumak İçin Tıklayın.
Enerji Yönetiminin Önemi İsimli Blog Yazımızı Okumak İçin Tıklayın.
Enerji Verimliliği Nedir? Enerji Tasarrufu Nedir? İsimli Blog Yazımızı Okumak İçin Tıklayın.","No labels","https://www.entes.com.tr/banka-subeleri-enerji-cozumu/"
"Çözümler","Enerji Analizörlerinden; haberleşme özellikli; kompanzasyon; kompanzasyon panoları","Telekomünikasyon Enerji Çözümü","Problem:
İşletmenin bölgesel santral binalarındaki enerji tüketimlerinin ölçülmesi, ölçülen değerlerin bilgisayarda kayıt altına alınması ve
kompanzasyon
sisteminin
bilgisayar üzerinden izlenebilmesi ihtiyacı. Teşhis:
İşletmeye
haberleşme özellikli
Enerji Analizörleri
ve
Reaktif Güç Kontrol Röleleri
takılması, ölçülen değerlerin kayıt altına alınarak takip edilmesi.","Çözüm:
11 adet Enerji Analizörü, 8 adet
Reaktif Güç Kontrol Rölesi
,
1 adet
Gateway (Ağ Geçitleri)
ve 1 adet
Enerji İzleme Yazılımı
kullanıldı. Radyolink istasyonlarında ve santrallerde bulunan
kompanzasyon panoları
teknik servis tarafından her ay kontrol edilemiyordu çünkü zaman yetmiyordu. Bilgisayar haberleşmeli
Reaktif Güç Kontrol Röleleri
aracılığıyla hem etkin
kompanzasyon
yapılmaya başlandı hem de tüm değerler tek bir noktadan izlenerek kayıt altına alındı. Bu sayede işletme giderleri büyük ölçüde azaldı. Merkezdeki gerilimin 170 V altına düşmesi durumunda alarm alınıp kısa zamanda müdahale olanağı sağlandı.
Enerji Analizörlerinden
alınan değerler sürekli olarak bilgisayarda kayıt altında tutulduğundan enerji kesinti sürelerinin tespiti yapılmaya başlandı. Müşteri şikayetlerinin bu doğrultuda değerlendirilmesi kolay hale geldi. Sonuç:
Enerji değerlerinin izlenmesi sonucunda tüketim miktarları net olarak hesaplanabildi ve kayıp enerjiler hesaplanarak işletmenin enerji tasarrufu yapması sağlandı. Ayrıca teknik servis ekibinin sayısı azaltılarak işletme giderleri de azaltılmış oldu.
Enerji Takibi Nedir? Enerji İzlemenin Faydaları Nelerdir? İsimli Blog Yazımızı Okumak İçin Tıklayın.
Enerji Yönetiminin Önemi​ İsimli Blog Yazımızı Okumak İçin Tıklayın.","No labels","https://www.entes.com.tr/telekomunikasyon-enerji-cozumu/"
"Çözümler","enerji tüketimleri","Beyaz Eşya Fabrikası Enerji Çözümü - 2","Problem:
Makine hatlarının
enerji tüketimleri
ölçülemediğinden maliyet hesabının doğru olarak yapılamaması Teşhis:
İşletmeye bilgisayarla haberleşen
Enerji Analizörleri
takılması üretim bantlarının enerji tüketimlerinin izlenerek enerji değerlerinin kayıt altına alınması","Çözüm:
47 adet
Enerji Analizörü
ve 1 adet
Enerji İzleme Yazılımı
kullanıldı. Haberleşme Yazılımı aracılığıyla ölçülen değerleri tek bir noktada kayıt altına alarak izleyebildiler. Rezistansla çalışan ve aşırı enerji tüketen poliüretan baskı makinelerinin üretime hazırlanması (ısıtılması) için gereken süreden 2-3 saat önce açıldığı tespit edilerek duruma müdahale edildi. Pazar günü makineler çalışmadığı ve üretim olmadığı halde bazı makine hatlarında günlük 660kW/saat oranında tüketimler tespit edildi ve gerekli uyarılar yapıldı. Sonuç:
Makine hatlarının tükettikleri enerji değerleri ölçülerek ve haberleşme yazılımı aracılığıyla tek bir noktadan izlenerek gereksiz tüketimler tespit edildi. Gerekli düzeltmelerin yapılması sonucunda işletme hem enerjisini verimli kullanmaya başladı hem de enerji tasarrufu yapmış oldu.
Enerji Analizörü (Şebeke Analizörü) Nedir? İsimli Blog Yazımızı Okumak İçin Tıklayın.
Enerji Analizörü (Şebeke Analizörü) Nedir? Enerji Analizörü Nerelerde Kullanılır? İsimli Blog Yazımızı Okumak İçin Tıklayın.","No labels","https://www.entes.com.tr/beyaz-esya-fabrikasi-enerji-cozumu-2/"
"Çözümler","reaktif enerji; reaktif enerji takibinin","Kereste Fabrikası Enerji Çözümü","Problem:
İşletmede bulunan 6 adet
kompanzasyon
panosunda
reaktif enerji takibinin
etkin şekilde yapılamaması Teşhis:
Haberleşme özelliğine sahip
Reaktif Güç Kontrol Rölelerinin
sisteme entegre edilmesi ve bunların tek bir merkezden izlenebileceği bir yazılımın kullanılması","Çözüm:
6 adet
Reaktif Güç Kontrol Rölesi
, 2 adet
Gateway (Ağ Geçitleri)
ve 1 adet
Enerji İzleme Yazılımı
kullanıldı.
Reaktif Güç Kontrol Rölesi
ve
Enerji İzleme Yazılımı
aracılığıyla panoların
reaktif enerji
parametrelerini merkezdeki bilgisayardan izlemeye ve gerektiği anda rölelerin ayarlarına bilgisayar ortamından müdahale edebilmeye başladılar.
Ayrıca bu iş için ayrılan personel de diğer işlerle uğraşmak için vakit bulmaya başladığından işçi performansı artmış oldu. Sonuç:
Tüm bu uygulamaların sonucunda işletmede etkin
kompanzasyon
yapılmaya başlandı.
Enerji Takibi Nedir? Enerji İzlemenin Faydaları Nelerdir? İsimli Blog Yazımızı Okumak İçin Tıklayın.
Enerji Yönetiminin Önemi​ İsimli Blog Yazımızı Okumak İçin Tıklayın.","No labels","https://www.entes.com.tr/kereste-fabrikasi-enerji-cozumu/"
"Çözümler","ENTES Teknolojisi ile Tanışın; Harmonik oranları:; •Elektronik Cihaz Hasarı:; •Enerji Kaybı:; •Faz akımları:; •Fiziksel Müdahale Gerektirmez:; •Her Ortama Uyumlu:; •Kablolama ve Ekipman Ömrü:; •Nötr Akımları Azaltır:; •Nötr akımı:; •Sistem Verimliliği:; •Yangın Riski:","İşletmelerde %100 Hat Dengeleme Çözümü","Problem:
Bir işletmede faz akımları 791A, 855A ve 889A olarak ölçülmüş, buna bağlı nötr akımı 123A olarak tespit edilmiştir. Harmonik oranları ise %10 seviyesindedir. Bu durum, elektronik kart arızaları ve kablolarda ısınma gibi sorunlara yol açmaktadır. Teşhis:
Günümüz enerji yönetimi ve elektriksel sistemlerin verimliliği için hat dengesizliği ve yüksek nötr akımları kritik sorunların başında gelmektedir. ENTES
Statik Var Generatör (SVG)
ve
Aktif Harmonik Filtre (AHF)
cihazları, bu sorunlara yenilikçi ve yüksek teknolojiye dayalı çözümler sunarak %100 hat dengeleme özelliği ile fark yaratır.","Çözüm:
İşletmeye 2 adet ENTES 150A Aktif Harmonik Filtre kuruldu ve gerekli parametre ayarları yapıldı. Sonuç:
•
Faz akımları:
897A, 906A, 915A
•
Nötr akımı:
123A'dan 36A'ya düştü
•
Harmonik oranları:
%2 seviyesine indi
Böylece nötr akımı %70 oranında düşürülerek sistem güvenliği sağlandı!
Bu iyileşmeler sayesinde hem enerji verimliliği artmış hem de sistem daha güvenli hale geldi.
ENTES Statik Var Generatör (SVG) ve Aktif Harmonik Filtre (AHF) cihazları, şebeke ve yük tarafındaki fazlar arası dengesizlikleri % olarak hesaplar ve düzeltmek için her faza uygun akımları elektronik olarak enjekte eder. Bu sayede:
•
Fiziksel Müdahale Gerektirmez:
Geleneksel panolara yapılan müdahalelerin aksine, sorunları elektronik olarak giderir.
•
Her Ortama Uyumlu:
Otellerde mono faz, sanayilerde iki faz yükler gibi farklı sistemlerde etkin çözümler sunar.
•
Nötr Akımları Azaltır:
Faz dengesizliklerini ortadan kaldırarak enerji kaybını ve ekipman arızalarını minimize eder.
ENTES Teknolojisi ile Tanışın
ENTES Statik Var Generatör ve Aktif Harmonik Filtre cihazları, enerji verimliliğinizi optimize ederken sisteminizi daha güvenli hale getirir. Daha fazla bilgi almak ve size özel çözümlerimizi keşfetmek için bizimle iletişime geçin!","No labels","https://www.entes.com.tr/isletmelerde-100-hat-dengeleme-cozumu-entes-elektronik/"
"Çözümler","Enerji Analizörleri; Enerji Analizörü; Enerji ölçme ve izleme sisteminin; O.G. girişindeki; enerji sayacı; enerji tüketimleri; reaktif cezaya; trafoya","Tekstil Fabrikası Enerji Çözümü","Problem:
İşletmenin ana
O.G. girişindeki
sayacın ve bu sayaca bağlı 5 adet
trafoya
bağlı olan yüklerin enerji tüketimlerinin takip edilememesi ve
kompanzasyon
sisteminin izlenememesi Teşhis:
İşletmenin ana girişine
Enerji Analizörü
bağlanması ve periyodik aralıklarla enerji değerlerinin ölçülmesi, her trafoya bağlı yüklere ve jeneratörlerin çıkışına Enerji ve Güç Ölçerlerin bağlanması, kompanzasyon sistemine haberleşme özellikli
Reaktif Güç Kontrol Rölesi
takılması","Çözüm:
6 adet
Enerji Analizörü
, 53 adet
Enerji ve Güç Ölçer
, 3 adet
Reaktif Güç Kontrol Rölesi
, 1 adet
Gateway (Ağ Geçitleri)
ve 1 adet
Enerji İzleme Yazılımı
kullanıldı. Ana girişe bağlanan
Enerji Analizörü
ile BEDAŞ'ın
enerji sayacı
takip edilmeye başlandı ve elektrik faturasındaki tüketimin sağlaması yapıldı.
Enerji Analizörleri
aracılığıyla her bölümün enerji tüketimi takip edilmeye başlandı. 3 vardiya olarak çalışan işletmenin
enerji tüketimleri
karşılaştırıldı ve az tüketim yapan vardiyalar ile fazla tüketim yapan vardiyalar tespit edildi. Projede gösterilen bölümlerin enerji tüketimleri izlenerek iyileştirme çalışmaları yapıldı. Verimi yüksek motorların kullanılmasına, havalandırma ve soğutmayı daha verimli hale getiren tedbirlerin alınmasına karar verildi. Jeneratörlerin ürettikleri enerji değerleri izlenerek bunların işletmeye olan maliyetleri de hesaplandı. Kompanzasyon sistemine eklenen Reaktif Güç Kontrol Rölesi ile işletmenin
reaktif cezaya
girmesi engellendi ve bilgisayar haberleşmesi sayesinde ölçülen değerler uzaktan izlenebildi. Sonuç:
Fabrika
reaktif cezaya
girmekten kurtulduğu için toplam enerji bedelinin %13'ü kadar tasarruf etmiş oldu.
Enerji ölçme ve izleme sisteminin
kurulmasıyla fazla enerji tüketen bölümler ve cihazlar belirlenerek bunlar aynı işi daha az enerji tüketerek yapan cihazlarla değiştirildi. Vardiyaların yeniden organize edilmesiyle işletme giderleri azaltıldı.
Reaktif Ceza Nedir? Nasıl Engellenir? İsimli Blog Yazımızı Okumak İçin Tıklayın.
Üretime Ara Veren İşletmelerde Reaktif Ceza Riski İsimli Blog Yazımızı Okumak İçin Tıklayın.","No labels","https://www.entes.com.tr/tekstil-fabrikasi-enerji-cozumu/"
"Çözümler","enerji; enerji tükettiğinin ölçülmesi; enerjinin ölçülmesi; tasarruf","Boya Fabrikası Enerji Çözümü","Problem:
Aylık 110.000 TL elektrik faturası ödenmesi Teşhis:
Fabrikadaki buhar kazanlarının ve kazan dairesinin fazla
enerji
harcaması olasılığına karşı tükettikleri
enerjinin ölçülmesi
, fanların ve dalgıç pompalarının ne kadar
enerji tükettiğinin ölçülmesi
, kablo kayıplarının ne kadar enerji kaybına yol açtığının ölçülmesi ve tüm değerlerin izlenmesi","Çözüm:
40 adet
Enerji Analizörü
,
Gateway (Ağ Geçitleri)
ve 1 adet
Enerji İzleme Yazılımı
kullanıldı.
Enerji Analizörleri
, buhar kazanlarının, dalgıç pompaların, fanların, pompa gruplarının girişine, yeraltı kablolarının hem girişine hem de çıkışına konularak çektikleri güçler izlendi.
Enerji İzleme Yazılımı
aracılığıyla ölçülen değerler bilgisayar üzerinden gerçek zamanlı olarak takip edildi. 2 x 11.0kWfanların ve 5 x 7.5kW pompa gruplarının yetersiz kaldığı anlaşıldı. Sistemde boru çapları genişletilip daha az enerji tüketmeleri sağlandı. Dalgıç pompaları 24 saat çalışıyordu. Pompa gücünü arttırarak daha az saat çalışması ve istenilen saatlerde çalışması sağlandı. Toprağın altından çekilen 85m.’lik, 120mm² kesitli kablonun çok ısındığı gözlenerek, onun yerine 240mm² kesitli kablo çekildi ve kablonun her iki ucunda bulunan
Enerji Analizörleri
aracılığıyla %20
tasarruf
sağlandığı gözlemlendi. 8 adet 22kw gücündeki fanlar yıldız-üçgen yol verme sistemi ile çalışıyordu. 4 adet invertör alındı ve 12.000 TL ödendi. Fanlara invertörlerle yumuşak yol verildi. 3 ay sonunda 12.000 TL tasarruf edilerek invertörlerin bedeli karşılanmış oldu. Makine içinde sirkülasyon fanlarının frekansları düşürülerek tasarrufa gidildi. Basınç tankı olmadığı için su motorlarının çok fazla enerji harcadığı tespit edildi. 2.000 TL değerinde basınç tankı alınarak sisteme eklendi. Böylece 80 TL/ gün tasarruf edildi. Sonuç:
Tüm bu uygulamaların sonucunda aylık elektrik faturası bedeli 80.000 TL'ye düştü. İşletme %30 tasarruf etmiş oldu ve enerjisini bu oran kadar verimli kullanmaya başladı.
Enerji Takibi Nedir? Enerji İzlemenin Faydaları Nelerdir? İsimli Blog Yazımızı Okumak İçin Tıklayın.
Enerji Yönetiminin Önemi​ İsimli Blog Yazımızı Okumak İçin Tıklayın.","No labels","https://www.entes.com.tr/boya-fabrikasi-enerji-cozumu/"
